county_code,activity_year,census_tract,tract_population,tract_minority_population_percent,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
48029,2020,48029181504,5952,0.6566,0.7,720,912,30
48029,2020,48029150700,6069,0.9049,0.63,1061,2134,59
48029,2020,48029191409,6914,0.756,0.64,389,1320,27
48029,2020,48029161000,3781,0.9521,0.42,439,910,41
48029,2020,48029121802,8672,0.621,0.91,2006,3052,16
48029,2020,48029121000,7340,0.4963,0.94,1648,2164,46
48029,2020,48029980005,26,0.6923,0.0,8,8,0
48029,2020,48029160100,6441,0.9896,0.36,988,1718,43
48029,2020,48029141404,5318,0.8558,1.04,1016,1478,51
48029,2020,48029191815,5499,0.5188,2.16,1231,1474,14
48029,2020,48029171000,6016,0.9599,0.47,982,1644,50
48029,2020,48029162003,5194,0.8019,0.71,1084,1674,32
48029,2020,48029140400,4023,0.9113,0.74,801,1433,76
48029,2020,48029160901,3092,0.9415,0.55,484,1008,58
48029,2020,48029130900,4454,0.9403,0.4,563,1284,45
48029,2020,48029181712,3931,0.6767,1.54,1094,1276,30
48029,2020,48029140100,1787,0.8926,0.77,299,654,76
48029,2020,48029131606,5365,0.6788,1.06,1271,1742,14
48029,2020,48029172005,6688,0.6564,1.63,1537,1794,7
48029,2020,48029181720,5098,0.6226,1.63,1377,1506,17
48029,2020,48029160502,4272,0.9803,0.66,663,1215,60
48029,2020,48029141200,7029,0.898,0.51,1502,2408,57
48029,2020,48029131503,3730,0.5928,1.05,925,1308,44
48029,2020,48029140300,3227,0.9402,0.5,644,1154,72
48029,2020,48029131200,3019,0.8612,0.51,414,861,49
48029,2020,48029170900,3389,0.9661,0.46,574,1207,59
48029,2020,48029180300,4291,0.9275,0.62,857,1510,59
48029,2020,48029181403,7179,0.7805,0.8,255,878,30
48029,2020,48029181728,11197,0.7437,1.11,2155,2922,11
48029,2020,48029190400,3984,0.438,2.21,488,974,75
48029,2020,48029181303,3654,0.7074,0.42,111,296,39
48029,2020,48029170700,5071,0.9548,0.52,869,1421,56
48029,2020,48029191702,7876,0.3394,1.45,1675,2071,24
48029,2020,48029171916,7830,0.7985,1.06,1625,2222,12
48029,2020,48029131402,2787,0.8723,0.75,751,906,36
48029,2020,48029151301,5897,0.9593,0.7,1018,1604,47
48029,2020,48029181826,6946,0.5462,1.24,1863,2102,24
48029,2020,48029171921,5299,0.8268,1.04,1197,1679,29
48029,2020,48029171602,3048,0.9478,0.53,463,731,41
48029,2020,48029121601,5025,0.5932,0.82,652,1222,38
48029,2020,48029162004,3297,0.8204,0.78,699,1159,27
48029,2020,48029172004,3951,0.5128,1.51,1282,1419,8
48029,2020,48029171918,6172,0.679,1.39,987,1410,0
48029,2020,48029141800,4248,0.6685,0.84,986,1429,31
48029,2020,48029180602,3356,0.7828,0.94,637,800,48
48029,2020,48029191005,2537,0.8837,0.65,439,788,64
48029,2020,48029192200,1555,0.8347,0.64,91,424,43
48029,2020,48029191701,1536,0.3027,2.0,546,621,37
48029,2020,48029150300,5386,0.9337,0.52,824,1597,62
48029,2020,48029191003,8164,0.8163,0.77,1197,1837,48
48029,2020,48029171924,5533,0.606,1.57,827,982,9
48029,2020,48029151400,4861,0.9333,0.54,716,1238,44
48029,2020,48029141300,6486,0.7954,0.85,1116,1593,40
48029,2020,48029121300,6318,0.4911,1.14,1942,2445,42
48029,2020,48029191413,6039,0.4216,1.32,1582,1912,23
48029,2020,48029150600,4845,0.9653,0.55,837,1488,58
